id;tenant_id;name;description;tier;category;icon_url;metadata;is_active;created_at;updated_at;rarity;rep_points;requirement;shape;icon_name
34be3975-2457-40a6-9777-321f5b038658;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Lightning Rookie;Completed your first survey in record time;bronze;speed;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Common;10;;circle;Zap
e44cc8ca-d63f-471b-951b-b6f2b04ff1e8;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Velocity Master;Completed 10 surveys under optimal time with perfect quality;silver;speed;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Rare;40;10 fast surveys;diamond;Zap
ac1f4e14-e7ba-4f69-b3fb-9387059da554;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Efficiency Sage;Mastered the perfect balance: fast completion + high quality;gold;speed;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;75;25 fast surveys;hexagon;Target
b0a42169-9394-483b-8aa7-0e3f1a465532;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Quantum Processor;Achieved superhuman survey completion speeds (50+ optimal surveys);platinum;speed;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;150;50 fast surveys;star;Sparkles
9103452b-7c02-435d-a181-7591534501f3;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Speed Force Avatar;Transcended time itself: 100+ lightning-fast perfect surveys;diamond;speed;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Legendary;300;100 fast surveys;diamond;Crown
1f95e958-6416-418e-938b-a7ccf621004a;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Quality Seeker;Achieved your first perfect 100% quality score;bronze;perfection;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Common;20;;circle;Star
0c0abac3-0261-4feb-af52-0b236339c202;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Precision Elite;Maintained 95%+ quality across 25 consecutive surveys;silver;perfection;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Rare;60;25 quality surveys;hexagon;Target
219e3ca3-70ca-4c7e-b68a-3cf5416b8119;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Perfection Incarnate;Achieved the impossible: 50 perfect surveys in a row;gold;perfection;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;120;50 perfect surveys;star;Award
0a09bcd5-fa75-4d9f-8b04-1c766a843455;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Excellence Transcendent;Godlike achievement: 100 consecutive perfect surveys;platinum;perfection;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;250;100 perfect surveys;diamond;Crown
da565e87-09ec-46ee-baae-6f8264e61ef9;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Mythical Perfectionist;Legendary status: 200+ perfect surveys - you are the standard;diamond;perfection;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Legendary;500;200 perfect surveys;star;Sparkles
01d4138e-aa62-47b1-989a-4bde88b37942;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Survey Scout;Explored your first 3 different survey categories;bronze;exploration;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Common;15;3 categories;circle;MapPin
c833c4d6-2ec5-4d27-ae27-280baafbe2e3;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Category Conqueror;Mastered 10+ different survey categories - true versatility;silver;exploration;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Rare;45;10 categories;hexagon;Award
66cf21ba-0e7f-4274-b7be-7923beaa97b0;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Research Renaissance;Conquered every available survey category - ultimate explorer;gold;exploration;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;90;15 categories;star;Trophy
f3440ad8-ba06-4cb3-9a6c-c1ce721f94a4;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Worldwide Wanderer;Completed surveys in multiple countries/regions;platinum;exploration;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Epic;180;5 regions;diamond;MapPin
cf2fe92b-6ff9-4d38-ae9f-9fbf115c6a6f;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Omni-Explorer;Transcended boundaries: surveys across all platforms and formats;diamond;exploration;;{};true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Legendary;350;25 platforms;star;Sparkles
302525fb-fca7-4198-90da-9d93c5e42b8d;2c3e7f22-f3ae-4936-a1e6-f57faf3ec2d4;Digital Guardian;Secured your digital identity with SMS verification;bronze;identity_security;https://kzqcfrubjccxrwfkkrze.supabase.co/storage/v1/object/public/badges/digital-guardian-1760166997776.png;"{""icon_theme"":""Passed basic security measures, OTP verification, Firewall checks - create an icon reflecting this with bronze accents. Keep in mind that the colour theme for Looplly - bold african colours. Should have a bronze border, no frame - this needs to be transparent""}";true;2025-10-11 07:04:23.039314+00;2025-10-11 07:04:23.039314+00;Common;15;Passed basic security measures, OTP verification, Firewall checks;circle;Shield
